Pressure
1023
0
289
850
238
254
471
202
103
0
0
0
323
776
487
544
813
767
447
660
782
764
650
0
0
0
0
0
0
0
980
0
627
858
787
803
884
884
846
0
0
0
630
623
669
720
708
590
701
788
600
238
696
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
657
635
651
0
627
738
678
754
709
0
