id,姓名,实验组数,实验组编号,模式切换技术,目标颜色,目标粗细,开始时间,结束时间,颜色切换时间,像素切换时间,模式切换总时间,绘制完整时间,第一段绘制时间,第二段绘制时间,第三段绘制时间,误触发总数,颜色切换错误数,像素切换错误数,模式切换总错误数,压力1,压力2,压力平均值,方位角1,方位角2,方位角平均值,倾斜角1,倾斜角2,倾斜角平均值,轨道偏出量
31,,1,2,P-实际值,黄色,2.0,20:50:44:487,20:50:48:786,-1618318253592,-1618318256301,-3236636509893,4843,832,219,1618,0,1,1,4,0,0,0,0,0,0,0,0,0,7,
32,,1,2,P-实际值,黄色,2.0,20:50:44:487,20:50:48:786,-1618318253592,-1618318256301,-3236636509893,4843,832,219,1618,0,1,1,4,0,0,0,0,0,0,0,0,0,7,
33,,1,2,P-实际值,黄色,2.0,20:50:44:487,20:50:48:786,-1618318253592,-1618318256301,-3236636509893,4843,832,219,1618,0,1,1,4,0,0,0,0,0,0,0,0,0,7,
34,,1,2,P-实际值,黄色,2.0,20:50:44:487,20:50:48:786,-1618318253592,-1618318256301,-3236636509893,4843,832,219,1618,0,1,1,4,0,0,0,0,0,0,0,0,0,7,
35,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,24,
36,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,24,
37,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,24,
38,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,24,
39,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,17,
40,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,17,
41,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,17,
42,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,20,
43,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,16,
44,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,16,
45,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,16,
46,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,22,
47,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,22,
48,,1,1,P-增量化,黄色,2.0,20:51:28:986,20:51:32:136,-1618318290270,-1618318291933,-3236636582203,3228,500,203,1126,0,1,1,2,0,0,0,0,0,0,0,0,0,22,
49,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,9,
50,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,9,
51,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,9,
52,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,9,
53,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,7,
54,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,6,
55,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,4,
56,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,3,
57,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,19,
58,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,19,
59,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,19,
60,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,19,
61,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,22,
62,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,22,
63,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,22,
64,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,0,
65,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,17,
66,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,20,
67,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,27,
68,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,2,
69,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,5,
70,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,5,
71,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,4,
72,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,9,
73,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,4,
74,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,3,
75,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,1,
76,,1,2,P-增量化,蓝色,3.0,20:51:28:986,20:51:32:136,-1618318298088,-1618318300388,-3236636598476,4291,547,236,1503,0,1,1,4,0,0,0,0,0,0,0,0,0,3,
